tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-united-cup,United Cup,,,D,,20260101,1,tsitsipas-b526f,,,Tsitsipas S.,,,,,,,harris-5a94c,,,Harris B.,,,,,,,4-6 6-1 7-64,3,,,,,,,,,,,,,,,,,,,,
2026-united-cup,United Cup,,,D,,20260101,2,hurkacz,,,Hurkacz H.,,,,,,,zverev-6f768,,,Zverev A.,,,,,,,6-3 6-4,3,,,,,,,,,,,,,,,,,,,,
2026-united-cup,United Cup,,,D,,20260101,3,fritz-f1aa7,,,Fritz T.,,,,,,,munar-d1298,,,Munar J.,,,,,,,7-64 3-6 7-66,3,,,,,,,,,,,,,,,,,,,,
2026-united-cup,United Cup,,,D,,20260101,4,mensik,,,Mensik J.,,,,,,,ruud-dfb38,,,Ruud C.,,,,,,,7-5 7-66,3,,,,,,,,,,,,,,,,,,,,
2026-hong-kong-atp,Hong Kong ATP,,,250,,20260101,1,wu-9762d,,,Wu Y.,,,,,,,marozsan,,,Marozsan F.,,,,,,,6-4 6-2,3,,,,,,,,,,,,,,,,,,,,
2026-hong-kong-atp,Hong Kong ATP,,,250,,20260101,2,cilic,,,Cilic M.,,,,,,,mannarino-a7108,,,Mannarino A.,,,,,,,6-3 6-2,3,,,,,,,,,,,,,,,,,,,,
2026-hong-kong-atp,Hong Kong ATP,,,250,,20260101,3,borges-8d823,8,,Borges N.,,,,,,,dzumhur,,,Dzumhur D.,,,,,,,6-4 6-3,3,,,,,,,,,,,,,,,,,,,,
2026-brisbane,Brisbane,,,250,,20260101,1,medvedev-e0d2d,1,,Medvedev D.,,,,,,,fucsovics,,,Fucsovics M.,,,,,,,6-2 6-3,3,,,,,,,,,,,,,,,,,,,,
2026-brisbane,Brisbane,,,250,,20260101,2,halys,,,Halys Q.,,,,,,,popyrin,,,Popyrin A.,,,,,,,5-7 6-3 6-4,3,,,,,,,,,,,,,,,,,,,,
2026-brisbane,Brisbane,,,250,,20260101,3,opelka,,,Opelka R.,,,,,,,sweeny,,,Sweeny D.,,,,,,,6-3 7-5,3,,,,,,,,,,,,,,,,,,,,
2026-brisbane,Brisbane,,,250,,20260101,4,majchrzak-905d8,,,Majchrzak K.,,,,,,,altmaier,,,Altmaier D.,,,,,,,7-64 6-0,3,,,,,,,,,,,,,,,,,,,,
2026-brisbane,Brisbane,,,250,,20260101,5,lehecka,3,,Lehecka J.,,,,,,,machac,,,Machac T.,,,,,,,6-4 65-7 6-2,3,,,,,,,,,,,,,,,,,,,,
2026-brisbane,Brisbane,,,250,,20260101,6,michelsen-a98bb,,,Michelsen A.,,,,,,,duckworth,,,Duckworth J.,,,,,,,64-7 7-62 6-3,3,,,,,,,,,,,,,,,,,,,,
2026-brisbane,Brisbane,,,250,,20260101,7,korda-2529f,,,Korda S.,,,,,,,vacherot,,,Vacherot V.,,,,,,,7-61 6-3,3,,,,,,,,,,,,,,,,,,,,
2026-hong-kong-atp,Hong Kong ATP,,,250,,20260101,1,djere,5,,Djere L.,,,,,,,nava-337db,4,,Nava E.,,,,,,,7-5 7-61,3,,,,,,,,,,,,,,,,,,,,
2026-hong-kong-atp,Hong Kong ATP,,,250,,20260101,2,struff,3,,Struff J.,,,,,,,basavareddy,,,Basavareddy N.,,,,,,,7-65 6-2,3,,,,,,,,,,,,,,,,,,,,
2026-hong-kong-atp,Hong Kong ATP,,,250,,20260101,3,tabilo,2,,Tabilo A.,,,,,,,zhou-472f7,,,Zhou Y.,,,,,,,4-6 6-4 6-3,3,,,,,,,,,,,,,,,,,,,,
2026-hong-kong-atp,Hong Kong ATP,,,250,,20260101,4,mmoh,,,Mmoh M.,,,,,,,kypson,6,,Kypson P.,,,,,,,6-2 3-6 6-4,3,,,,,,,,,,,,,,,,,,,,
2026-montpellier,Montpellier,,,250,,20260201,1,fils,6,,Fils A.,,,,,,,blanchet,,,Blanchet U.,,,,,,,7-64 7-5,3,,,,,,,,,,,,,,,,,,,,
2026-montpellier,Montpellier,,,250,,20260201,2,auger-aliassime,1,,Auger Aliassime F.,,,,,,,wawrinka-ffdb9,,,Wawrinka S.,,,,,,,6-4 7-63,3,,,,,,,,,,,,,,,,,,,,
2026-montpellier,Montpellier,,,250,,20260201,3,nardi-e2cda,,,Nardi L.,,,,,,,cobolli-d6311,2,,Cobolli F.,,,,,,,6-2 6-3,3,,,,,,,,,,,,,,,,,,,,
